from_source_line_id,from_source_station_id,from_source_station_key,from_station_name,to_source_line_id,to_source_station_id,to_source_station_key,to_station_name,transfer_duration_seconds,straight_distance_meters,duration_is_estimated
S1121,2114,S1121|2114,신설동,L11UI,S122,L11UI|S122,신설동,409,275,True
L11UI,S122,L11UI|S122,신설동,S1121,2114,S1121|2114,신설동,409,275,True
I4101,0127,I4101|0127,동묘앞,S1106,0636,S1106|0636,동묘앞,289,130,True
S1106,0636,S1106|0636,동묘앞,I4101,0127,I4101|0127,동묘앞,289,130,True
I4101,0128,I4101|0128,동대문,I1104,0421,I1104|0421,동대문,302,146,True
I1104,0421,I1104|0421,동대문,I4101,0128,I4101|0128,동대문,302,146,True
I4101,0130,I4101|0130,종로3가,I1103,0329,I1103|0329,종로3가,284,125,True
I1103,0329,I1103|0329,종로3가,I4101,0130,I4101|0130,종로3가,284,125,True
I4101,0130,I4101|0130,종로3가,S1105,0534,S1105|0534,종로3가(탑골공원),411,277,True
S1105,0534,S1105|0534,종로3가(탑골공원),I4101,0130,I4101|0130,종로3가,411,277,True
I1103,0329,I1103|0329,종로3가,S1105,0534,S1105|0534,종로3가(탑골공원),318,166,True
S1105,0534,S1105|0534,종로3가(탑골공원),I1103,0329,I1103|0329,종로3가,318,166,True
S1102,0203,S1102|0203,을지로3가,I1103,0330,I1103|0330,을지로3가,308,154,True
I1103,0330,I1103|0330,을지로3가,S1102,0203,S1102|0203,을지로3가,308,154,True
S1102,0204,S1102|0204,을지로4가,S1105,0535,S1105|0535,을지로4가,252,87,True
S1105,0535,S1105|0535,을지로4가,S1102,0204,S1102|0204,을지로4가,252,87,True
S1102,0205,S1102|0205,동대문역사문화공원(DDP),I1104,0422,I1104|0422,동대문역사문화공원(DDP),283,124,True
I1104,0422,I1104|0422,동대문역사문화공원(DDP),S1102,0205,S1102|0205,동대문역사문화공원(DDP),283,124,True
S1102,0205,S1102|0205,동대문역사문화공원(DDP),S1105,0536,S1105|0536,동대문역사문화공원(DDP),469,346,True
S1105,0536,S1105|0536,동대문역사문화공원(DDP),S1102,0205,S1102|0205,동대문역사문화공원(DDP),469,346,True
I1104,0422,I1104|0422,동대문역사문화공원(DDP),S1105,0536,S1105|0536,동대문역사문화공원(DDP),367,224,True
S1105,0536,S1105|0536,동대문역사문화공원(DDP),I1104,0422,I1104|0422,동대문역사문화공원(DDP),367,224,True
S1102,0206,S1102|0206,신당,S1106,0635,S1106|0635,신당,424,293,True
S1106,0635,S1106|0635,신당,S1102,0206,S1102|0206,신당,424,293,True
S1102,0208,S1102|0208,왕십리(성동구청),S1105,0540,S1105|0540,왕십리(성동구청),245,78,True
S1105,0540,S1105|0540,왕십리(성동구청),S1102,0208,S1102|0208,왕십리(성동구청),245,78,True
S1102,0208,S1102|0208,왕십리(성동구청),I4102,1013,I4102|1013,왕십리역,287,128,True
I4102,1013,I4102|1013,왕십리역,S1102,0208,S1102|0208,왕십리(성동구청),287,128,True
S1102,0208,S1102|0208,왕십리(성동구청),I4105,1013,I4105|1013,왕십리역,303,148,True
I4105,1013,I4105|1013,왕십리역,S1102,0208,S1102|0208,왕십리(성동구청),303,148,True
S1105,0540,S1105|0540,왕십리(성동구청),I4102,1013,I4102|1013,왕십리역,267,104,True
I4102,1013,I4102|1013,왕십리역,S1105,0540,S1105|0540,왕십리(성동구청),267,104,True
S1105,0540,S1105|0540,왕십리(성동구청),I4105,1013,I4105|1013,왕십리역,318,166,True
I4105,1013,I4105|1013,왕십리역,S1105,0540,S1105|0540,왕십리(성동구청),318,166,True
I4102,1013,I4102|1013,왕십리역,I4105,1013,I4105|1013,왕십리역,250,84,True
I4105,1013,I4105|1013,왕십리역,I4102,1013,I4102|1013,왕십리역,250,84,True
S1102,0212,S1102|0212,건대입구,S1107,0727,S1107|0727,건대입구,324,173,True
S1107,0727,S1107|0727,건대입구,S1102,0212,S1102|0212,건대입구,324,173,True
S1102,0216,S1102|0216,잠실(송파구청),S1108,0814,S1108|0814,잠실(송파구청),509,394,True
S1108,0814,S1108|0814,잠실(송파구청),S1102,0216,S1102|0216,잠실(송파구청),509,394,True
S1102,0220,S1102|0220,선릉,I4105,1023,I4105|1023,선릉역,240,72,True
I4105,1023,I4105|1023,선릉역,S1102,0220,S1102|0220,선릉,240,72,True
S1102,0226,S1102|0226,사당,I1104,0433,I1104|0433,사당,205,30,True
I1104,0433,I1104|0433,사당,S1102,0226,S1102|0226,사당,205,30,True
S1102,0233,S1102|0233,대림(구로구청),S1107,0744,S1107|0744,대림(구로구청),331,181,True
S1107,0744,S1107|0744,대림(구로구청),S1102,0233,S1102|0233,대림(구로구청),331,181,True
S1102,0234,S1102|0234,신도림,I4101,1007,I4101|1007,신도림역,206,32,True
I4101,1007,I4101|1007,신도림역,S1102,0234,S1102|0234,신도림,206,32,True
S1102,0236,S1102|0236,영등포구청,S1105,0523,S1105|0523,영등포구청,366,224,True
S1105,0523,S1105|0523,영등포구청,S1102,0236,S1102|0236,영등포구청,366,224,True
S1102,0237,S1102|0237,당산,S1109,4113,S1109|4113,당산,274,112,True
S1109,4113,S1109|4113,당산,S1102,0237,S1102|0237,당산,274,112,True
S1102,0238,S1102|0238,합정,S1106,0622,S1106|0622,합정,298,142,True
S1106,0622,S1106|0622,합정,S1102,0238,S1102|0238,합정,298,142,True
S1102,0243,S1102|0243,충정로(경기대입구),S1105,0531,S1105|0531,충정로(경기대입구),306,152,True
S1105,0531,S1105|0531,충정로(경기대입구),S1102,0243,S1102|0243,충정로(경기대입구),306,152,True
I1103,0321,I1103|0321,연신내,S1106,0614,S1106|0614,연신내,266,103,True
S1106,0614,S1106|0614,연신내,I1103,0321,I1103|0321,연신내,266,103,True
I1103,0322,I1103|0322,불광,S1106,0612,S1106|0612,불광,267,104,True
S1106,0612,S1106|0612,불광,I1103,0322,I1103|0322,불광,267,104,True
I1103,0331,I1103|0331,충무로,I1104,0423,I1104|0423,충무로,210,35,True
I1104,0423,I1104|0423,충무로,I1103,0331,I1103|0331,충무로,210,35,True
I1103,0333,I1103|0333,약수,S1106,0633,S1106|0633,약수,243,75,True
S1106,0633,S1106|0633,약수,I1103,0333,I1103|0333,약수,243,75,True
I1103,0335,I1103|0335,옥수,I4102,1011,I4102|1011,옥수역,327,177,True
I4102,1011,I4102|1011,옥수역,I1103,0335,I1103|0335,옥수,327,177,True
I1103,0339,I1103|0339,고속터미널,S1107,0734,S1107|0734,고속터미널,325,175,True
S1107,0734,S1107|0734,고속터미널,I1103,0339,I1103|0339,고속터미널,325,175,True
I1103,0339,I1103|0339,고속터미널,S1109,4123,S1109|4123,고속터미널,291,133,True
S1109,4123,S1109|4123,고속터미널,I1103,0339,I1103|0339,고속터미널,291,133,True
S1107,0734,S1107|0734,고속터미널,S1109,4123,S1109|4123,고속터미널,427,297,True
