from_source_line_id,from_source_station_id,from_source_station_key,from_station_name,to_source_line_id,to_source_station_id,to_source_station_key,to_station_name,transfer_duration_seconds,straight_distance_meters,duration_is_estimated
I41WS,4813,I41WS|4813,초지역,I28K1,1758,I28K1|1758,초지역,327,177,True
I4103,1758,I4103|1758,초지역,I41WS,4813,I41WS|4813,초지역,327,177,True
I41WS,4813,I41WS|4813,초지역,I4103,1758,I4103|1758,초지역,327,177,True
I28K1,1759,I28K1|1759,안산역,I4103,1759,I4103|1759,안산역,180,0,True
I4103,1759,I4103|1759,안산역,I28K1,1759,I28K1|1759,안산역,180,0,True
I28K1,1760,I28K1|1760,능길역,I4103,1760,I4103|1760,능길역,180,0,True
I4103,1760,I4103|1760,능길역,I28K1,1760,I28K1|1760,능길역,180,0,True
I28K1,1761,I28K1|1761,정왕역,I4103,1761,I4103|1761,정왕역,180,0,True
I4103,1761,I4103|1761,정왕역,I28K1,1761,I28K1|1761,정왕역,180,0,True
I28K1,1762,I28K1|1762,오이도역,I4103,1762,I4103|1762,오이도역,180,0,True
I4103,1762,I4103|1762,오이도역,I28K1,1762,I28K1|1762,오이도역,180,0,True
I1101,1812,I1101|1812,인천역,I28K1,1891,I28K1|1891,인천역,216,43,True
I28K1,1891,I28K1|1891,인천역,I1101,1812,I1101|1812,인천역,216,43,True
I1101,4804,I1101|4804,소사역,I41WS,4804,I41WS|4804,소사역,223,52,True
I41WS,4804,I41WS|4804,소사역,I1101,4804,I1101|4804,소사역,223,52,True
