service_line_id,source_line_id,source_station_id,source_station_key,station_name,next_source_line_id,next_source_station_id,next_source_station_key,next_station_name,day_group,time_period,median_headway_seconds,expected_wait_seconds,departure_count,interval_sample_count
SL_93451329FB01,L41G1,G102,L41G1|G102,마산역,L41G1,G101,L41G1|G101,구래역,WEEKDAY,EVENING_PEAK,160,80,57,56
SL_93451329FB01,L41G1,G104,L41G1|G104,운양역,L41G1,G103,L41G1|G103,장기역,WEEKDAY,EVENING_PEAK,160,80,59,58
SL_93451329FB01,L41G1,G103,L41G1|G103,장기역,L41G1,G102,L41G1|G102,마산역,WEEKDAY,EVENING_PEAK,160,80,58,57
SL_93451329FB01,L41G1,G101,L41G1|G101,구래역,L41G1,G100,L41G1|G100,양촌역,WEEKDAY,EVENING_PEAK,800,400,12,11
SL_93451329FB01,L41G1,G106,L41G1|G106,사우역,L41G1,G105,L41G1|G105,걸포북변역,WEEKDAY,EVENING_PEAK,160,80,60,59
SL_93451329FB01,L41G1,G105,L41G1|G105,걸포북변역,L41G1,G104,L41G1|G104,운양역,WEEKDAY,EVENING_PEAK,160,80,59,58
SL_93451329FB01,L41G1,G108,L41G1|G108,고촌역,L41G1,G107,L41G1|G107,풍무역,WEEKDAY,EVENING_PEAK,160,80,62,61
SL_93451329FB01,L41G1,G107,L41G1|G107,풍무역,L41G1,G106,L41G1|G106,사우역,WEEKDAY,EVENING_PEAK,160,80,60,59
SL_93451329FB01,L41G1,G109,L41G1|G109,김포공항역,L41G1,G108,L41G1|G108,고촌역,WEEKDAY,EVENING_PEAK,160,80,63,62
SL_93451329FB01,L41G1,G101,L41G1|G101,구래역,L41G1,G100,L41G1|G100,양촌역,WEEKDAY,LATE_NIGHT,320,160,31,30
SL_93451329FB01,L41G1,G102,L41G1|G102,마산역,L41G1,G101,L41G1|G101,구래역,WEEKDAY,LATE_NIGHT,300,150,53,52
SL_93451329FB01,L41G1,G103,L41G1|G103,장기역,L41G1,G102,L41G1|G102,마산역,WEEKDAY,LATE_NIGHT,330,165,51,50
SL_93451329FB01,L41G1,G104,L41G1|G104,운양역,L41G1,G103,L41G1|G103,장기역,WEEKDAY,LATE_NIGHT,360,180,51,50
SL_93451329FB01,L41G1,G105,L41G1|G105,걸포북변역,L41G1,G104,L41G1|G104,운양역,WEEKDAY,LATE_NIGHT,360,180,50,49
SL_93451329FB01,L41G1,G106,L41G1|G106,사우역,L41G1,G105,L41G1|G105,걸포북변역,WEEKDAY,LATE_NIGHT,360,180,49,48
SL_93451329FB01,L41G1,G107,L41G1|G107,풍무역,L41G1,G106,L41G1|G106,사우역,WEEKDAY,LATE_NIGHT,360,180,49,48
SL_93451329FB01,L41G1,G108,L41G1|G108,고촌역,L41G1,G107,L41G1|G107,풍무역,WEEKDAY,LATE_NIGHT,360,180,47,46
SL_93451329FB01,L41G1,G109,L41G1|G109,김포공항역,L41G1,G108,L41G1|G108,고촌역,WEEKDAY,LATE_NIGHT,360,180,46,45
SL_93451329FB01,L41G1,G100,L41G1|G100,양촌역,L41G1,G101,L41G1|G101,구래역,WEEKEND_HOLIDAY,EARLY_MORNING,480,240,12,11
SL_93451329FB01,L41G1,G101,L41G1|G101,구래역,L41G1,G102,L41G1|G102,마산역,WEEKEND_HOLIDAY,EARLY_MORNING,360,180,14,13
SL_93451329FB01,L41G1,G102,L41G1|G102,마산역,L41G1,G103,L41G1|G103,장기역,WEEKEND_HOLIDAY,EARLY_MORNING,360,180,14,13
SL_93451329FB01,L41G1,G103,L41G1|G103,장기역,L41G1,G104,L41G1|G104,운양역,WEEKEND_HOLIDAY,EARLY_MORNING,360,180,13,12
SL_93451329FB01,L41G1,G104,L41G1|G104,운양역,L41G1,G105,L41G1|G105,걸포북변역,WEEKEND_HOLIDAY,EARLY_MORNING,360,180,13,12
SL_93451329FB01,L41G1,G105,L41G1|G105,걸포북변역,L41G1,G106,L41G1|G106,사우역,WEEKEND_HOLIDAY,EARLY_MORNING,360,180,12,11
SL_93451329FB01,L41G1,G106,L41G1|G106,사우역,L41G1,G107,L41G1|G107,풍무역,WEEKEND_HOLIDAY,EARLY_MORNING,360,180,12,11
SL_93451329FB01,L41G1,G107,L41G1|G107,풍무역,L41G1,G108,L41G1|G108,고촌역,WEEKEND_HOLIDAY,EARLY_MORNING,360,180,11,10
SL_93451329FB01,L41G1,G108,L41G1|G108,고촌역,L41G1,G109,L41G1|G109,김포공항역,WEEKEND_HOLIDAY,EARLY_MORNING,360,180,10,9
SL_93451329FB01,L41G1,G108,L41G1|G108,고촌역,L41G1,G109,L41G1|G109,김포공항역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G107,L41G1|G107,풍무역,L41G1,G108,L41G1|G108,고촌역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G105,L41G1|G105,걸포북변역,L41G1,G106,L41G1|G106,사우역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G106,L41G1|G106,사우역,L41G1,G107,L41G1|G107,풍무역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G103,L41G1|G103,장기역,L41G1,G104,L41G1|G104,운양역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G104,L41G1|G104,운양역,L41G1,G105,L41G1|G105,걸포북변역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G101,L41G1|G101,구래역,L41G1,G102,L41G1|G102,마산역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G102,L41G1|G102,마산역,L41G1,G103,L41G1|G103,장기역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G100,L41G1|G100,양촌역,L41G1,G101,L41G1|G101,구래역,WEEKEND_HOLIDAY,MORNING_PEAK,1080,540,7,6
SL_93451329FB01,L41G1,G108,L41G1|G108,고촌역,L41G1,G109,L41G1|G109,김포공항역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G107,L41G1|G107,풍무역,L41G1,G108,L41G1|G108,고촌역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G105,L41G1|G105,걸포북변역,L41G1,G106,L41G1|G106,사우역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G106,L41G1|G106,사우역,L41G1,G107,L41G1|G107,풍무역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G103,L41G1|G103,장기역,L41G1,G104,L41G1|G104,운양역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G104,L41G1|G104,운양역,L41G1,G105,L41G1|G105,걸포북변역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G101,L41G1|G101,구래역,L41G1,G102,L41G1|G102,마산역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G102,L41G1|G102,마산역,L41G1,G103,L41G1|G103,장기역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G100,L41G1|G100,양촌역,L41G1,G101,L41G1|G101,구래역,WEEKEND_HOLIDAY,DAYTIME,1080,540,26,25
SL_93451329FB01,L41G1,G108,L41G1|G108,고촌역,L41G1,G109,L41G1|G109,김포공항역,WEEKEND_HOLIDAY,EVENING_PEAK,360,180,30,29
SL_93451329FB01,L41G1,G107,L41G1|G107,풍무역,L41G1,G108,L41G1|G108,고촌역,WEEKEND_HOLIDAY,EVENING_PEAK,360,180,30,29
SL_93451329FB01,L41G1,G105,L41G1|G105,걸포북변역,L41G1,G106,L41G1|G106,사우역,WEEKEND_HOLIDAY,EVENING_PEAK,360,180,30,29
SL_93451329FB01,L41G1,G106,L41G1|G106,사우역,L41G1,G107,L41G1|G107,풍무역,WEEKEND_HOLIDAY,EVENING_PEAK,360,180,30,29
SL_93451329FB01,L41G1,G103,L41G1|G103,장기역,L41G1,G104,L41G1|G104,운양역,WEEKEND_HOLIDAY,EVENING_PEAK,360,180,30,29
SL_93451329FB01,L41G1,G104,L41G1|G104,운양역,L41G1,G105,L41G1|G105,걸포북변역,WEEKEND_HOLIDAY,EVENING_PEAK,360,180,30,29
SL_93451329FB01,L41G1,G101,L41G1|G101,구래역,L41G1,G102,L41G1|G102,마산역,WEEKEND_HOLIDAY,EVENING_PEAK,360,180,30,29
SL_93451329FB01,L41G1,G102,L41G1|G102,마산역,L41G1,G103,L41G1|G103,장기역,WEEKEND_HOLIDAY,EVENING_PEAK,360,180,30,29
SL_93451329FB01,L41G1,G100,L41G1|G100,양촌역,L41G1,G101,L41G1|G101,구래역,WEEKEND_HOLIDAY,EVENING_PEAK,1080,540,10,9
SL_93451329FB01,L41G1,G108,L41G1|G108,고촌역,L41G1,G109,L41G1|G109,김포공항역,WEEKEND_HOLIDAY,LATE_NIGHT,360,180,34,33
SL_93451329FB01,L41G1,G107,L41G1|G107,풍무역,L41G1,G108,L41G1|G108,고촌역,WEEKEND_HOLIDAY,LATE_NIGHT,360,180,33,32
SL_93451329FB01,L41G1,G105,L41G1|G105,걸포북변역,L41G1,G106,L41G1|G106,사우역,WEEKEND_HOLIDAY,LATE_NIGHT,360,180,32,31
SL_93451329FB01,L41G1,G106,L41G1|G106,사우역,L41G1,G107,L41G1|G107,풍무역,WEEKEND_HOLIDAY,LATE_NIGHT,360,180,32,31
SL_93451329FB01,L41G1,G103,L41G1|G103,장기역,L41G1,G104,L41G1|G104,운양역,WEEKEND_HOLIDAY,LATE_NIGHT,360,180,31,30
SL_93451329FB01,L41G1,G104,L41G1|G104,운양역,L41G1,G105,L41G1|G105,걸포북변역,WEEKEND_HOLIDAY,LATE_NIGHT,360,180,31,30
SL_93451329FB01,L41G1,G101,L41G1|G101,구래역,L41G1,G102,L41G1|G102,마산역,WEEKEND_HOLIDAY,LATE_NIGHT,360,180,30,29
SL_93451329FB01,L41G1,G102,L41G1|G102,마산역,L41G1,G103,L41G1|G103,장기역,WEEKEND_HOLIDAY,LATE_NIGHT,360,180,30,29
SL_93451329FB01,L41G1,G100,L41G1|G100,양촌역,L41G1,G101,L41G1|G101,구래역,WEEKEND_HOLIDAY,LATE_NIGHT,1080,540,12,11
SL_93451329FB01,L41G1,G109,L41G1|G109,김포공항역,L41G1,G108,L41G1|G108,고촌역,WEEKEND_HOLIDAY,EARLY_MORNING,480,240,12,11
SL_93451329FB01,L41G1,G108,L41G1|G108,고촌역,L41G1,G107,L41G1|G107,풍무역,WEEKEND_HOLIDAY,EARLY_MORNING,480,240,11,10
SL_93451329FB01,L41G1,G107,L41G1|G107,풍무역,L41G1,G106,L41G1|G106,사우역,WEEKEND_HOLIDAY,EARLY_MORNING,480,240,10,9
SL_93451329FB01,L41G1,G106,L41G1|G106,사우역,L41G1,G105,L41G1|G105,걸포북변역,WEEKEND_HOLIDAY,EARLY_MORNING,480,240,9,8
SL_93451329FB01,L41G1,G105,L41G1|G105,걸포북변역,L41G1,G104,L41G1|G104,운양역,WEEKEND_HOLIDAY,EARLY_MORNING,480,240,9,8
SL_93451329FB01,L41G1,G104,L41G1|G104,운양역,L41G1,G103,L41G1|G103,장기역,WEEKEND_HOLIDAY,EARLY_MORNING,480,240,8,7
SL_93451329FB01,L41G1,G103,L41G1|G103,장기역,L41G1,G102,L41G1|G102,마산역,WEEKEND_HOLIDAY,EARLY_MORNING,480,240,8,7
SL_93451329FB01,L41G1,G102,L41G1|G102,마산역,L41G1,G101,L41G1|G101,구래역,WEEKEND_HOLIDAY,EARLY_MORNING,570,285,7,6
SL_93451329FB01,L41G1,G101,L41G1|G101,구래역,L41G1,G100,L41G1|G100,양촌역,WEEKEND_HOLIDAY,EARLY_MORNING,1320,660,4,3
SL_93451329FB01,L41G1,G102,L41G1|G102,마산역,L41G1,G101,L41G1|G101,구래역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G104,L41G1|G104,운양역,L41G1,G103,L41G1|G103,장기역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G103,L41G1|G103,장기역,L41G1,G102,L41G1|G102,마산역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G106,L41G1|G106,사우역,L41G1,G105,L41G1|G105,걸포북변역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G105,L41G1|G105,걸포북변역,L41G1,G104,L41G1|G104,운양역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G101,L41G1|G101,구래역,L41G1,G100,L41G1|G100,양촌역,WEEKEND_HOLIDAY,MORNING_PEAK,1080,540,6,5
SL_93451329FB01,L41G1,G107,L41G1|G107,풍무역,L41G1,G106,L41G1|G106,사우역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G108,L41G1|G108,고촌역,L41G1,G107,L41G1|G107,풍무역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G109,L41G1|G109,김포공항역,L41G1,G108,L41G1|G108,고촌역,WEEKEND_HOLIDAY,MORNING_PEAK,360,180,20,19
SL_93451329FB01,L41G1,G102,L41G1|G102,마산역,L41G1,G101,L41G1|G101,구래역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G101,L41G1|G101,구래역,L41G1,G100,L41G1|G100,양촌역,WEEKEND_HOLIDAY,DAYTIME,1080,540,27,26
SL_93451329FB01,L41G1,G104,L41G1|G104,운양역,L41G1,G103,L41G1|G103,장기역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G103,L41G1|G103,장기역,L41G1,G102,L41G1|G102,마산역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G106,L41G1|G106,사우역,L41G1,G105,L41G1|G105,걸포북변역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G105,L41G1|G105,걸포북변역,L41G1,G104,L41G1|G104,운양역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G107,L41G1|G107,풍무역,L41G1,G106,L41G1|G106,사우역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G108,L41G1|G108,고촌역,L41G1,G107,L41G1|G107,풍무역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G109,L41G1|G109,김포공항역,L41G1,G108,L41G1|G108,고촌역,WEEKEND_HOLIDAY,DAYTIME,360,180,80,79
SL_93451329FB01,L41G1,G102,L41G1|G102,마산역,L41G1,G101,L41G1|G101,구래역,WEEKEND_HOLIDAY,EVENING_PEAK,360,180,30,29
SL_93451329FB01,L41G1,G104,L41G1|G104,운양역,L41G1,G103,L41G1|G103,장기역,WEEKEND_HOLIDAY,EVENING_PEAK,360,180,30,29
SL_93451329FB01,L41G1,G103,L41G1|G103,장기역,L41G1,G102,L41G1|G102,마산역,WEEKEND_HOLIDAY,EVENING_PEAK,360,180,30,29
SL_93451329FB01,L41G1,G101,L41G1|G101,구래역,L41G1,G100,L41G1|G100,양촌역,WEEKEND_HOLIDAY,EVENING_PEAK,1080,540,10,9
SL_93451329FB01,L41G1,G106,L41G1|G106,사우역,L41G1,G105,L41G1|G105,걸포북변역,WEEKEND_HOLIDAY,EVENING_PEAK,360,180,30,29
SL_93451329FB01,L41G1,G105,L41G1|G105,걸포북변역,L41G1,G104,L41G1|G104,운양역,WEEKEND_HOLIDAY,EVENING_PEAK,360,180,30,29
SL_93451329FB01,L41G1,G107,L41G1|G107,풍무역,L41G1,G106,L41G1|G106,사우역,WEEKEND_HOLIDAY,EVENING_PEAK,360,180,30,29
SL_93451329FB01,L41G1,G108,L41G1|G108,고촌역,L41G1,G107,L41G1|G107,풍무역,WEEKEND_HOLIDAY,EVENING_PEAK,360,180,30,29
